prepare,prÃ©parer,82
hands,mains,340
desperate,dÃ©sespÃ©rÃ©,54
spoke,parlait,218
padua,Padoue,41
youth,jeunesse,317
without,sans pour autant,362
these,celles-ci,1374
quoth,quoth,60
drunk,ivre,114
music,la musique,255
would,aurait,2399
scorn,mÃ©pris,144
warrant,mandat,195
because,car,187
silence,silence,114
somerset,somerset,145
prison,prison,257
sister,sÅ“ur,236
fairy,FÃ©e,58
grief,douleur,269
viola,alto,158
excellent,excellent,125
merchant,marchande,77
phebe,phebe,45
version,version,230
devise,concevoir,57
guess,devine,55
endure,supporter,81
drums,tambours,42
object,objet,54
shortly,prochainement,46
humble,humble,94
ferdinand,Ferdinand,98
folly,folie,79
flight,vol,56
forest,forÃªt,98
vengeance,vengeance,52
throat,gorge,78
infinite,infini,43
least,moins,101
misery,misÃ¨re,39
milan,Milan,41
sleep,sommeil,430
minds,esprits,56
commission,commission,52
after,aprÃ¨s,537
quiet,silencieux,109
close,proche,167
policy,politique,45
saint,Saint,193
learn,apprendre,223
salerio,salerio,47
weeping,larmes,61
blood,du sang,928
straight,tout droit,161
throw,jeter,213
speaks,parle,128
thank,remercier,505
sweet,sucrÃ©,910
faces,visages,53
yours,le tiens,591
undone,dÃ©fait,52
violent,violent,48
forsooth,en vÃ©ritÃ©,48
sworn,jurÃ©,195
empty,vide,54
spring,printemps,90
deadly,mortel,51
ambition,ambition,49
leave,laisser,742
blush,rougir,88
besides,outre,109
weeds,mauvaises herbes,44
knave,fripon,231
morrow,demain,346
others,autres,520
laugh,rire,241
swift,rapide,99
faint,perdre connaissance,76
murder,meurtre,213
making,fabrication,85
gower,gower,53
minister,ministre,62
cruel,cruel,99
often,souvent,139
remedy,remÃ¨de,59
cardinal,cardinal,170
consent,consentement,110
suffolk,suffolk,259
respect,le respect,142
strange,Ã©trange,359
aside,de cÃ´tÃ©,468
success,SuccÃ¨s,88
authority,autoritÃ©,55
loose,ample,60
therefore,par consÃ©quent,627
creature,crÃ©ature,110
child,enfant,385
trust,confiance,241
private,privÃ©,74
young,Jeune,527
companion,un compagnon,55
provided,Ã  condition de,259
tribunes,tribunes,67
wisdom,sagesse,105
fatal,fatal,45
gates,portes,103
sorry,Pardon,91
happiness,bonheur,59
treasure,TrÃ©sor,58
mistake,erreur,52
embrace,embrasse,83
cheek,joue,241
victory,la victoire,47
praise,louange,231
cheer,acclamation,130
better,mieux,607
special,spÃ©cial,63
contempt,mÃ©pris,55
truth,vÃ©ritÃ©,339
service,un service,484
there,LÃ ,2438
sweat,transpiration,52
betray,trahir,66
swear,jurer,351
college,UniversitÃ©,227
copyright,droits d'auteur,228
approach,approche,103
turns,se tourne,73
number,nombre,102
obedience,obÃ©issance,60
clarence,clartÃ©,208
fierce,fÃ©roce,44
struck,frappÃ©,84
brave,courageux,217
judge,juge,117
darkness,obscuritÃ©,39
posthumus,posthume,128
write,Ã©crire,162
order,ordre,142
proceed,procÃ©der,134
shape,forme,131
nothing,rien,621
understand,comprendre,122
distributed,distribuÃ©,443
birth,naissance,101
forth,en avant,440
wives,Ã©pouses,64
mariana,Mariana,88
heaven,paradis,845
loving,aimant,122
unhappy,malheureux,39
prohibited,interdit,221
silver,argent,68
mighty,puissant,117
despair,dÃ©sespoir,61
weapons,armes,40
blessing,bÃ©nÃ©diction,67
hundred,cent,118
other,autre,2282
woman,femme,504
queen,reine,976
uncle,oncle,254
matter,matiÃ¨re,382
courage,courage,304
instant,instant,85
walls,des murs,85
native,originaire de,45
yield,rendement,202
noise,bruit,115
speak,parler,1275
sacred,sacrÃ©,47
tender,soumissionner,174
question,question,176
bought,achetÃ©,51
loves,aime,222
spirit,esprit,405
picture,image,52
sharp,tranchant,90
names,des noms,50
messenger,Messager,334
regard,qui concerne,62
pompey,pompey,207
wench,jeune fille,85
witch,sorciÃ¨re,139
mirth,gaietÃ©,53
royal,Royal,499
lucentio,Lucentio,217
flies,mouches,62
tonight,ce soir,49
shake,secouer,394
almost,presque,160
steward,intendant,50
displeasure,mÃ©contentement,43
chide,gronder,59
reign,rÃ¨gne,327
manner,maniÃ¨re,171
parolles,parolles,175
naked,nu,54
trial,procÃ¨s,65
plead,plaider,63
brains,cerveaux,49
undertake,entreprendre,51
venice,venise,86
copies,copies,445
judgment,jugement,116
charity,charitÃ©,55
whether,qu'il s'agisse,97
raise,Ã©lever,59
quite,assez,116
tower,la tour,87
always,toujours,63
below,au dessous de,54
already,dÃ©jÃ ,148
estate,biens,58
shall,doit,3817
touch,toucher,311
pardon,pardon,414
kings,rois,144
crave,demander,73
senator,sÃ©nateur,150
condition,Ã©tat,348
ladyship,Madame,45
prayers,priÃ¨res,84
shame,la honte,358
fruit,fruit,69
cause,cause,359
dreams,rÃªves,46
trick,tour,94
favour,favoriser,203
times,fois,295
wound,blessure,209
pedro,pedro,155
saying,en disant,63
render,rendre,57
cinna,cinna,39
abroad,Ã  l'Ã©tranger,64
egypt,Egypte,68
whence,d'oÃ¹,76
chief,chef,223
blunt,cru,80
dolabella,Dolabella,70
despite,malgrÃ©,59
burning,brÃ»lant,51
doctor,docteur,119
conduct,conduite,53
until,jusqu'Ã ,77
sport,sport,166
reason,raison,486
thought,pensÃ©e,677
farther,plus loin,43
maintain,maintenir,58
lieutenant,lieutenant,81
taste,goÃ»t,98
marry,marier,373
grieve,pleurer,71
wherein,oÃ¹,131
oxford,Oxford,85
liberty,libertÃ©,72
state,Etat,346
gentle,doux,1227
welcome,Bienvenue,373
dance,Danse,110
meeting,rÃ©union,56
goodness,la bontÃ©,55
cares,se soucie,35
cloten,cailloter,111
deeds,actes,118
broke,cassÃ©,383
remain,rester,126
night,nuit,1141
courtesy,courtoisie,66
demand,demande,161
letter,lettre,381
offend,offenser,148
rotten,pourri,40
accuse,accuser,52
entertainment,divertissement,38
devil,diable,286
enemy,ennemi,167
giving,donnant,65
dread,crainte,121
prize,prix,52
worth,vaut,585
found,a trouvÃ©,319
excuse,excuse,85
humour,humour,120
taken,pris,94
grace,la grÃ¢ce,707
patience,la patience,206
where,oÃ¹,1720
receive,recevoir,143
think,pense,1343
triumph,triomphe,78
poison,poison,126
black,noir,194
cupid,Cupidon,65
mistress,maÃ®tresse,440
speech,discours,163
watch,regarder,262
oliver,oliver,58
pluck,cueillir,163
thing,chose,1059
fashion,mode,124
withal,avec,152
through,par,273
surely,sÃ»rement,42
attend,assister,407
strength,force,141
castle,ChÃ¢teau,115
tedious,fastidieux,51
dwell,habiter,72
apparel,vÃªtements,48
philip,Philippe,142
smell,odeur,68
exeunt,sortir,1035
bedford,Bedford,87
either,Soit,354
didst,didst,183
dying,en train de mourir,52
blows,coups,72
those,ceux,544
palace,palais,167
given,donnÃ©,205
glass,verre,83
might,pourrait,559
weight,poids,63
doubt,doute,252
merit,mÃ©rite,79
worse,pire,173
longer,plus long,112
measure,mesure,104
guilty,coupable,69
ulysses,Ulysse,114
surrey,Surrey,89
trumpet,trompette,210
senate,sÃ©nat,42
blind,aveugle,103
memory,MÃ©moire,58
absence,absence,55
banish,bannir,197
house,maison,654
drops,gouttes,58
defend,dÃ©fendre,83
street,rue,133
hence,Par consÃ©quent,505
early,de bonne heure,108
hours,heures,140
green,vert,122
substance,substance,43
complexion,complexion,47
cromwell,Cromwell,69
frown,froncer les sourcils,86
shore,rive,85
greet,saluer,93
valentine,Valentin,233
stars,Ã©toiles,71
suddenly,tout Ã  coup,50
supper,souper,64
discourse,discours,89
equal,Ã©gal,69
colour,Couleur,165
mouth,bouche,199
dishonour,dÃ©shonorer,70
short,court,124
window,la fenÃªtre,69
fancy,fantaisie,67
shadow,ombre,112
fought,combattu,68
happy,heureux,203
sickness,maladie,54
modest,modeste,100
offence,infraction,121
golden,d'or,92
season,saison,68
enter,entrer,2482
catch,capture,92
truly,vraiment,170
flowers,fleurs,46
counsel,Conseil,176
having,ayant,157
lives,vies,213
double,double,128
wretch,misÃ©rable,152
affections,affections,40
hollow,creux,53
clifford,Clifford,211
mowbray,mowbray,66
awhile,quelque temps,102
light,lumiÃ¨re,538
ladies,Dames,148
flesh,la chair,138
worship,culte,131
bastard,Connard,228
study,Ã©tude,65
liege,Liege,289
guard,garde,199
bright,brillant,80
labour,la main d'oeuvre,128
unknown,inconnue,44
julia,Julia,270
glorious,glorieux,43
assure,assurer,70
grown,grandi,68
meant,signifiait,81
wealth,richesse,113
means,veux dire,263
chain,chaÃ®ne,125
desire,le dÃ©sir,308
chair,chaise,183
heels,talons,83
soothsayer,devin,43
miranda,Miranda,124
great,gÃ©nial,1126
barren,DÃ©nudÃ©,42
wrong,faux,367
sword,Ã©pÃ©e,424
eternal,Ã©ternel,40
swore,jurÃ©,60
fellow,compagnon,440
fetch,chercher,129
behold,voir,199
parted,sÃ©parÃ©,56
garden,jardin,61
heads,tÃªtes,130
hanging,pendaison,63
choice,choix,72
certain,certain,233
stuff,des trucs,69
small,petit,121
commanded,commandÃ©,40
gallant,galant,72
quick,rapide,327
widow,veuve,141
before,avant,838
husband,mari,369
simple,Facile,127
stomach,estomac,62
merry,joyeux,167
looks,regards,216
shows,montre,103
orlando,orlando,164
majesty,majestÃ©,268
consider,considÃ©rer,88
flatter,flatter,136
keeps,garde,76
rogue,coquin,107
hostess,hÃ´tesse,112
whither,oÃ¹,88
gross,brut,95
borne,supportÃ©,94
hangs,bloque,37
particular,particulier,72
water,eau,202
twice,deux fois,71
bones,des os,75
effect,effet,116
affection,affection,118
solemn,solennel,69
perceive,apercevoir,103
daughter,fille,491
leontes,leontes,150
request,demande,85
countess,comtesse,123
their,leur,2014
faith,Foi,459
forbid,interdire,86
captain,capitaine,202
shepherd,berger,143
point,point,250
general,gÃ©nÃ©ral,236
poins,poins,100
alone,seul,235
damned,damnÃ©,45
along,le long de,112
patient,patient,130
clown,pitre,355
profit,profit,65
deserve,mÃ©riter,134
revenge,vengeance,188
clear,clair,76
enough,assez,304
encounter,rencontre,61
claudio,Claudio,226
kingdom,Royaume,127
shine,Ã©clat,108
capitol,Capitole,43
third,troisiÃ¨me,245
further,plus loin,190
visit,visite,97
denied,refusÃ©,55
account,Compte,57
dearest,trÃ¨s cher,56
sometime,parfois,77
claud,claud,305
innocent,innocent,55
fiery,ardent,49
bring,apporter,524
percy,Percy,109
awake,Ã©veillÃ©,85
plague,peste,110
offer,offre,176
suffer,souffrir,161
traitor,traitre,203
finds,trouve,42
honest,honnÃªte,395
knowledge,connaissance,98
going,Aller,111
personal,personnel,237
court,tribunal,590
whose,dont,617
former,ancien,74
entreat,supplier,159
yonder,lÃ -bas,74
peace,paix,544
gaunt,dÃ©charnÃ©,78
strong,fort,275
abuse,abuser de,75
prove,prouver,371
hubert,Hubert,155
bodies,corps,44
vantage,avantage,131
comes,vient,686
search,chercher,61
servant,serviteur,537
sudden,soudain,78
civil,civil,65
spare,de rechange,67
charge,charge,492
business,Entreprise,236
reverence,rÃ©vÃ©rence,44
forbear,ancÃªtre,65
staff,Personnel,529
right,droite,556
familiar,familier,47
partly,partiellement,35
possible,possible,98
pistol,pistolet,187
lorenzo,Lorenzo,136
march,Mars,242
tells,raconte,45
battle,bataille,146
edmund,Edmund,79
answer,rÃ©pondre,479
taught,enseignÃ©,55
thrive,prospÃ©rer,61
under,sous,498
desert,dÃ©sert,65
freely,librement,55
purse,bourse,106
dispatch,envoi,92
beauty,beautÃ©,231
promise,promettre,160
fears,peurs,73
armour,armure,57
habit,habitude,158
margaret,margaret,208
france,France,637
train,train,253
which,lequel,2306
needs,Besoins,147
image,image,125
brows,sourcils,48
count,compter,632
emilia,Ã‰milie,153
feast,le banquet,131
never,jamais,1008
knife,couteau,56
month,mois,96
piece,piÃ¨ce,141
fenton,Fenton,74
parts,les piÃ¨ces,112
blame,faire des reproches,93
carry,porter,111
party,fÃªte,50
frame,Cadre,55
little,peu,476
occasion,occasion,91
murther,aller plus loin,66
limbs,membres,49
tears,larmes,294
rather,plutÃ´t,322
title,Titre,120
whore,putain,99
content,contenu,308
burden,fardeau,61
pound,livre,112
perhaps,peut-Ãªtre,45
skill,compÃ©tence,62
trouble,difficultÃ©,133
company,entreprise,215
maria,maria,169
thomas,Thomas,96
contrary,contraire,47
outward,vers l'extÃ©rieur,56
prince,prince,1119
living,vivant,123
bound,liÃ©,228
custom,Douane,72
false,faux,345
priest,prÃªtre,91
permission,autorisation,225
tyrant,tyran,69
dinner,dÃ®ner,96
stroke,accident vasculaire cÃ©rÃ©bral,64
breed,race,113
although,bien que,79
fiend,dÃ©mon,78
realm,domaine,60
avoid,Ã©viter,52
fresh,Frais,124
grant,subvention,151
ransom,une ranÃ§on,64
practice,entraine toi,56
divine,Divin,59
maiden,jeune fille,78
flourish,fleurir,146
action,action,353
fools,imbÃ©ciles,103
kindness,la gentillesse,78
french,franÃ§ais,265
crown,couronne,387
sentence,phrase,45
large,grand,104
issue,problÃ¨me,129
bounty,prime,42
satisfied,satisfait,53
sense,sens,182
being,Ã©tant,658
protest,manifestation,67
foolish,insensÃ©,103
drink,boisson,209
heavy,lourd,168
field,champ,240
curse,malÃ©diction,180
begin,commencer,188
become,devenir,144
rascal,coquin,90
lawful,lÃ©gitime,76
works,travaux,250
brought,apportÃ©,196
alive,vivant,93
thief,voleur,67
painted,peint,53
deliver,livrer,199
tailor,tailleur,58
neighbour,voisine,93
summer,Ã©tÃ©,99
pandarus,Pandarus,356
library,bibliothÃ¨que,231
world,monde,915
known,connu,189
nurse,infirmiÃ¨re,217
peril,pÃ©ril,65
stand,supporter,816
leisure,loisir,65
table,table,287
together,ensemble,281
knows,sait,206
highness,altesse,189
oberon,Oberon,82
within,dans,493
could,pourrait,651
forward,vers l'avant,102
strike,la grÃ¨ve,205
change,changement,309
health,santÃ©,120
blest,heureux,82
bless,bÃ©nir,417
comfort,confort,253
disposition,disposition,51
ariel,Ariel,167
slender,mince,113
machine,machine,224
report,rapport,187
warlike,guerrier,58
complete,AchevÃ©e,247
return,revenir,262
constant,constant,72
conscience,conscience,125
subject,matiÃ¨re,170
knees,les genoux,51
several,nombreuses,106
serve,servir,325
office,Bureau,349
angel,ange,334
while,tandis que,334
anger,colÃ¨re,416
drown,noyer,108
second,seconde,583
smile,sourire,122
download,TÃ©lÃ©charger,221
falls,des chutes,81
claim,prÃ©tendre,187
durst,durst,51
credit,crÃ©dit,73
porter,porter,1573
kneel,s'agenouiller,113
waste,dÃ©chets,74
citizen,citoyenne,268
brook,ruisseau,90
lordship,seigneurie,127
sooner,plus tÃ´t,59
bearing,palier,75
includes,comprend,223
heart,cÅ“ur,1323
painter,peintre,45
forget,oublier,115
hateful,odieux,39
dream,rÃªver,161
noble,noble,733
malice,malice,71
present,prÃ©sent,441
since,depuis,461
behind,derriÃ¨re,120
appears,apparaÃ®t,50
stain,tache,114
breath,souffle,327
niece,niÃ¨ce,65
fight,bats toi,320
heard,entendu,364
syracuse,Syracuse,456
brief,bref,114
marcius,Marcius,196
execution,exÃ©cution,69
pretty,jolie,114
chance,chance,208
nature,la nature,409
cross,traverser,124
constable,gendarme,44
sought,recherchÃ©,39
cousin,cousin,283
master,MaÃ®tre,959
witness,tÃ©moin,142
wrought,forgÃ©,43
earth,Terre,369
quarrel,querelle,127
lands,terres,68
duncan,Duncan,59
breast,Sein,116
coming,venir,171
mercy,pitiÃ©,186
cunning,ruse,81
elbow,coude,62
about,sur,410
commit,commettre,86
buried,enterrÃ©,59
stood,se tenait,107
pains,des douleurs,91
sorrow,chagrin,243
behalf,nom,46
wolsey,Wolsey,194
scene,scÃ¨ne,807
meaning,sens,64
ignorant,ignorant,48
above,au dessus,147
friend,ami,996
drawn,tirÃ©,92
pleasure,plaisir,215
beaten,battu,50
myself,moi mÃªme,559
athens,AthÃ¨nes,72
ancient,ancien,82
benefit,avantage,47
flood,inonder,59
quality,qualitÃ©,55
glory,gloire,89
morning,Matin,134
horse,cheval,322
lords,seigneurs,467
except,sauf,57
tarry,goudronneux,50
device,dispositif,49
jewel,bijou,98
believe,croyez,252
remember,rappelles toi,199
unless,sauf si,155
nought,nÃ©ant,58
storm,orage,81
though,bien que,633
weary,se lasser,87
souls,Ã¢mes,114
makes,fait du,357
launce,lancer,163
enemies,ennemis,111
store,boutique,71
people,gens,232
valour,valeur,100
flower,fleur,54
monster,monstre,93
single,CÃ©libataire,63
appear,apparaÃ®tre,181
afraid,peur,41
paulina,paulina,86
holds,tient,91
fourth,QuatriÃ¨me,51
story,rÃ©cit,93
commercial,commercial,221
bishop,Ã©vÃªque,132
willing,prÃªt,94
project,projet,254
reputation,rÃ©putation,45
seven,Sept,94
maids,servantes,48
express,Express,135
tread,bande de roulement,57
written,Ã©crit,34
passion,la passion,146
beard,barbe,118
belike,Ãªtre comme,42
degree,diplÃ´me,65
please,S'il vous plaÃ®t,445
bears,ours,106
talbot,talbot,171
valiant,vaillant,161
forces,les forces,53
farewell,adieu,352
doing,Faire,86
rough,rugueux,107
knock,frappe,135
father,pÃ¨re,1139
throne,trÃ´ne,75
proper,correct,100
slain,tuÃ©,126
beast,la bÃªte,124
bitter,amer,94
speed,la vitesse,286
common,commun,245
themselves,se,159
wonder,merveille,161
virtue,vertu,242
every,chaque,550
mortal,mortel,146
prologue,prologue,42
chaste,chaste,46
lovely,charmant,53
figure,figure,64
madness,la dÃ©mence,68
again,encore,1356
teach,enseigner,136
commend,saluer,154
indeed,En effet,438
stone,calcul,230
money,argent,193
dramatis,dramatis,36
polixenes,polixÃ¨nes,84
revolt,rÃ©volte,64
whole,entier,161
beyond,au-delÃ ,58
terms,termes,75
hazard,danger,47
safety,sÃ©curitÃ©,74
sight,vue,239
wrath,colÃ¨re,73
teeth,les dents,57
proof,preuve,118
presence,prÃ©sence,107
between,entre,238
still,encore,582
natural,Naturel,105
oaths,serments,86
beggar,mendiant,122
doors,des portes,62
toward,vers,177
itself,lui-mÃªme,239
knowing,connaissance,53
pride,fiertÃ©,111
emperor,empereur,111
acquainted,connaissance,43
force,Obliger,408
steel,acier,77
cominius,cominius,104
tongue,langue,500
church,Ã©glise,100
protector,protecteur,61
enjoy,prendre plaisir,71
slander,calomnie,92
secret,secret,114
ourselves,nous-mÃªmes,112
slave,esclave,174
confess,avouer,181
seeing,voyant,56
ghost,fantÃ´me,112
course,cours,186
place,endroit,523
power,Puissance,377
finger,doigt,112
rivers,riviÃ¨res,58
repent,se repentir,77
precious,prÃ©cieux,78
suspect,suspect,52
haste,hÃ¢te,215
abide,respecter,45
brain,cerveau,104
opinion,opinion,97
cease,cesser,68
soldier,soldat,489
wings,ailes,56
cannot,ne peux pas,757
scarce,rare,90
first,premiÃ¨re,1171
voice,voix,210
argument,argument,77
villain,scÃ©lÃ©rat,355
perfect,parfait,114
passage,passage,44
utter,prononcer,121
sound,du son,328
sirrah,sirrah,148
spite,dÃ©pit,69
chamber,chambre,220
plain,plaine,240
should,devrait,1696
justice,Justice,495
depart,partir,91
readable,lisible,224
discover,dÃ©couvrir,78
dagger,dague,57
proud,fier,246
bottom,bas,110
hector,Hector,290
enobarbus,Ã©nobarbus,154
coward,lÃ¢che,149
lovers,les amoureux,60
marcus,Marcus,219
person,la personne,980
council,conseil,58
thrust,poussÃ©e,66
ground,sol,182
herself,se,97
repair,rÃ©paration,52
death,dÃ©cÃ¨s,917
purpose,objectif,260
steal,voler,128
advice,Conseil,43
according,selon,55
winter,hiver,84
membership,adhÃ©sion,221
elder,aÃ®nÃ©,47
clouds,des nuages,57
jealous,jaloux,94
tempest,tempÃªte,52
paris,Paris,241
public,Publique,70
paper,papier,122
marriage,mariage,122
ready,prÃªt,145
bassianus,bassianus,45
spend,dÃ©penser,78
feeble,faible,43
affairs,affaires,68
fortune,fortune,478
motion,mouvement,113
grave,la tombe,242
match,rencontre,117
fault,faute,274
exeter,Exeter,170
follow,suivre,551
fearful,craintif,99
intent,intention,74
command,commander,287
clothes,vÃªtements,41
round,rond,98
challenge,dÃ©fi,56
intend,avoir l'intention,147
